iter	RMSE
0	1.264110603
1	1.25965295
2	1.254608036
3	1.249305258
4	1.243671532
5	1.238527093
6	1.235121072
7	1.230589241
8	1.226488767
9	1.222059906
10	1.218316604
11	1.214680081
12	1.211394232
13	1.207272293
14	1.202622654
15	1.198796639
16	1.194931209
17	1.191423586
18	1.188301469
19	1.183861128
20	1.180318783
21	1.177635294
22	1.174750237
23	1.171742538
24	1.169054191
25	1.16597785
26	1.16281919
27	1.158179258
28	1.153967379
29	1.150794662
30	1.148347786
31	1.145640925
32	1.143137856
33	1.14078705
34	1.138516147
35	1.136814585
36	1.134547453
37	1.132140747
38	1.129952741
39	1.127026668
40	1.124168309
41	1.121594366
42	1.119644465
43	1.117253446
44	1.113771862
45	1.112310252
46	1.109515223
47	1.106372543
48	1.103881405
49	1.10233584
50	1.098844542
51	1.096560911
52	1.094354735
53	1.091056786
54	1.087920733
55	1.086502549
56	1.083784153
57	1.081884171
58	1.080281634
59	1.078040248
60	1.075672067
61	1.073300727
62	1.070586551
63	1.068637021
64	1.065640722
65	1.063629476
66	1.061553461
67	1.059625819
68	1.058194287
69	1.056596685
70	1.055152163
71	1.054066476
72	1.052471935
73	1.050406871
74	1.048106327
75	1.046489879
76	1.04533722
77	1.043836502
78	1.041891704
79	1.039784466
80	1.038725758
81	1.037476294
82	1.034129949
83	1.032837071
84	1.02937468
85	1.028316803
86	1.026670854
87	1.026100878
88	1.024906847
89	1.023508926
90	1.021874249
91	1.020057406
92	1.01851683
93	1.017823158
94	1.01616602
95	1.014831292
96	1.013528389
97	1.011991114
98	1.009645608
99	1.008260169
100	1.00492437
101	1.003208908
102	1.002183357
103	0.9994388772
104	0.9964467531
105	0.995606586
106	0.9949614422
107	0.9933327389
108	0.9921881918
109	0.9913263496
110	0.9894237839
111	0.9876504686
112	0.9858700587
113	0.983957901
114	0.9821963674
115	0.9809805042
116	0.9799476454
117	0.978830352
118	0.9768984952
119	0.9758670654
120	0.9742722105
121	0.9724103602
122	0.9715318427
123	0.9701173116
124	0.96843844
125	0.9672547417
126	0.9659906617
127	0.9635356802
128	0.9628382953
129	0.9602408468
130	0.9582875842
131	0.9570691563
132	0.9563372746
133	0.9555658033
134	0.95279141
135	0.9520006023
136	0.9508052159
137	0.949944023
138	0.9480320155
139	0.9473403815
140	0.9449495991
141	0.9431306319
142	0.9416333214
143	0.9403976679
144	0.9382542806
145	0.9378340588
146	0.9368173815
147	0.9342039879
148	0.9327612821
149	0.9319124831
150	0.9304796758
151	0.928282839
152	0.92737242
153	0.9243491184
154	0.9226686503
155	0.9218726131
156	0.9204905165
157	0.9166265183
158	0.9153436452
159	0.9142705545
160	0.9127472446
161	0.9113175414
162	0.9100502364
163	0.9084762247
164	0.9064466629
165	0.9049879698
166	0.9036937599
167	0.902282833
168	0.9008050722
169	0.8971524926
170	0.8967322796
171	0.8961945952
172	0.8950119956
173	0.8927026127
174	0.8906650244
175	0.8890494431
176	0.8862197096
177	0.8850062951
178	0.8830976638
179	0.8809031741
180	0.8788679294
181	0.8774141051
182	0.8762879174
183	0.8741389801
184	0.8717361158
185	0.8701608891
186	0.869167154
187	0.8668638588
188	0.8653644744
189	0.8649849784
190	0.863391093
191	0.8616689381
192	0.8604662535
193	0.8594190093
194	0.8577173476
195	0.855164284
196	0.8537831354
197	0.8513736392
198	0.849211794
199	0.8490350425
200	0.8480061841
201	0.8468976729
202	0.8456667993
203	0.843851476
204	0.8421740523
205	0.8408079085
206	0.8383015815
207	0.836677801
208	0.8347824395
209	0.8325965725
210	0.8306792308
211	0.8289172027
212	0.8278122911
213	0.8260281522
214	0.8257921119
215	0.8239991125
216	0.8225687268
217	0.8213403495
218	0.819979058
219	0.8180941606
220	0.8176107208
221	0.8163001921
222	0.8149692022
223	0.812921297
224	0.8112917416
225	0.808954546
226	0.806943802
227	0.8051789941
228	0.8038381845
229	0.8019154393
230	0.8003704361
231	0.7991765266
232	0.798476816
233	0.7962208519
234	0.7948219367
235	0.7932751729
236	0.7905538022
237	0.7888106563
238	0.7873966034
239	0.7873153985
240	0.7858371023
241	0.7848994666
242	0.7831497382
243	0.7815045737
244	0.780505253
245	0.779548799
246	0.7781329232
247	0.7761544448
248	0.7746155487
249	0.7736097319
250	0.7714220747
251	0.769899083
252	0.7688325806
253	0.7671199631
254	0.7657670938
255	0.7635757202
256	0.7621925254
257	0.7620561159
258	0.7601492479
259	0.7598179695
260	0.7584347131
261	0.7572220509
262	0.7554377913
263	0.7543631013
264	0.7523858924
265	0.7510373678
266	0.7487752256
267	0.7477529012
268	0.7462391136
269	0.7461471706
270	0.745077264
271	0.7440888841
272	0.7422018715
273	0.7412699851
274	0.7410454334
275	0.7402789455
276	0.738936043
277	0.7373630232
278	0.7357362253
279	0.7339647816
280	0.732003736
281	0.7303463454
282	0.7290592798
283	0.7277476152
284	0.7265681831
285	0.7261482175
286	0.7244381314
287	0.724304673
288	0.7241621389
289	0.7231086204
290	0.7214138321
291	0.7197973825
292	0.7182077285
293	0.7172594507
294	0.7170446955
295	0.7169037742
296	0.7154621302
297	0.7133239499
298	0.7114923509
299	0.7113160279
