iter	Passed	Remaining
0	2	869
1	5	810
2	7	738
3	9	731
4	12	721
5	14	711
6	16	701
7	19	694
8	21	693
9	23	691
10	25	681
11	28	680
12	30	683
13	33	675
14	35	671
15	37	666
16	39	661
17	42	663
18	44	657
19	46	654
20	48	650
21	51	648
22	53	645
23	55	641
24	58	641
25	60	638
26	62	636
27	65	632
28	67	628
29	69	626
30	71	623
31	74	622
32	76	620
33	78	616
34	80	611
35	82	607
36	85	604
37	87	602
38	89	601
39	92	600
40	94	599
41	96	594
42	98	591
43	101	588
44	103	584
45	105	582
46	107	580
47	110	579
48	113	579
49	115	577
50	117	574
51	119	571
52	122	570
53	124	567
54	126	565
55	129	562
56	130	558
57	133	555
58	135	553
59	137	550
60	139	547
61	142	545
62	144	543
63	146	540
64	148	538
65	151	535
66	153	533
67	155	530
68	157	526
69	159	523
70	161	520
71	163	517
72	165	514
73	167	511
74	169	509
75	171	506
76	174	504
77	176	501
78	178	498
79	180	495
80	182	492
81	184	490
82	186	487
83	188	484
84	190	481
85	192	479
86	194	477
87	196	474
88	199	471
89	201	469
90	203	467
91	205	464
92	207	462
93	209	459
94	212	457
95	214	455
96	216	452
97	218	450
98	220	447
99	222	444
100	224	442
101	227	440
102	228	437
103	231	435
104	233	432
105	235	430
106	237	428
107	239	425
108	241	423
109	243	420
110	245	418
111	247	415
112	249	413
113	251	410
114	253	408
115	255	405
116	257	403
117	259	400
118	262	398
119	264	396
120	266	393
121	268	391
122	270	388
123	272	386
124	274	384
125	276	382
126	278	379
127	280	377
128	282	375
129	285	372
130	287	370
131	289	368
132	291	366
133	293	363
134	295	361
135	297	358
136	299	356
137	301	354
138	303	351
139	305	349
140	307	346
141	309	344
142	311	342
143	314	340
144	316	338
145	318	335
146	320	333
147	322	331
148	325	329
149	326	326
150	328	324
151	331	322
152	333	320
153	335	317
154	337	315
155	339	313
156	341	311
157	343	308
158	345	306
159	348	304
160	350	302
161	352	300
162	354	297
163	356	295
164	358	293
165	360	291
166	362	288
167	364	286
168	366	284
169	368	282
170	371	279
171	373	277
172	375	275
173	377	273
174	379	271
175	381	268
176	383	266
177	385	264
178	388	262
179	390	260
180	392	257
181	394	255
182	396	253
183	398	251
184	400	248
185	402	246
186	404	244
187	406	242
188	408	239
189	410	237
190	412	235
191	414	233
192	416	230
193	418	228
194	420	226
195	423	224
196	425	222
197	427	220
198	429	217
199	431	215
200	433	213
201	435	211
202	437	208
203	439	206
204	441	204
205	443	202
206	445	200
207	447	198
208	449	195
209	451	193
210	453	191
211	456	189
212	458	187
213	460	185
214	462	182
215	464	180
216	466	178
217	469	176
218	471	174
219	473	172
220	475	169
221	477	167
222	479	165
223	481	163
224	483	161
225	485	158
226	487	156
227	489	154
228	491	152
229	494	150
230	496	148
231	498	146
232	500	143
233	502	141
234	504	139
235	506	137
236	508	135
237	510	133
238	512	130
239	513	128
240	515	126
241	517	124
242	520	121
243	522	119
244	524	117
245	526	115
246	528	113
247	530	111
248	532	109
249	534	106
250	536	104
251	538	102
252	540	100
253	542	98
254	544	96
255	546	93
256	548	91
257	550	89
258	552	87
259	554	85
260	556	83
261	558	81
262	560	78
263	562	76
264	564	74
265	566	72
266	568	70
267	570	68
268	572	66
269	574	63
270	576	61
271	578	59
272	580	57
273	582	55
274	584	53
275	586	51
276	588	48
277	590	46
278	593	44
279	595	42
280	597	40
281	599	38
282	601	36
283	603	33
284	605	31
285	607	29
286	609	27
287	611	25
288	613	23
289	615	21
290	617	19
291	619	16
292	621	14
293	623	12
294	625	10
295	627	8
296	629	6
297	631	4
298	634	2
299	636	0
704	0
